key,value,date
30 Seconds to Mars,0,2012-4
30 Seconds to Mars,0,2012-5
30 Seconds to Mars,0,2012-6
30 Seconds to Mars,0,2012-7
30 Seconds to Mars,0,2012-8
30 Seconds to Mars,0,2012-9
30 Seconds to Mars,0,2012-10
30 Seconds to Mars,0,2012-11
30 Seconds to Mars,0,2012-12
30 Seconds to Mars,0,2013-1
30 Seconds to Mars,0,2013-2
30 Seconds to Mars,0,2013-3
30 Seconds to Mars,0,2013-4
30 Seconds to Mars,0,2013-5
30 Seconds to Mars,0,2013-6
30 Seconds to Mars,0,2013-7
30 Seconds to Mars,0,2013-8
30 Seconds to Mars,0,2013-9
30 Seconds to Mars,0,2013-10
30 Seconds to Mars,0,2013-11
30 Seconds to Mars,0,2013-12
30 Seconds to Mars,0,2014-1
30 Seconds to Mars,0,2014-2
30 Seconds to Mars,0,2014-3
30 Seconds to Mars,0,2014-4
30 Seconds to Mars,0,2014-5
30 Seconds to Mars,0,2014-6
30 Seconds to Mars,0,2014-7
30 Seconds to Mars,0,2014-8
30 Seconds to Mars,0,2014-9
30 Seconds to Mars,0,2014-10
30 Seconds to Mars,0,2014-11
30 Seconds to Mars,0,2014-12
3 Doors Down,0,2008-8
3 Doors Down,0,2008-9
3 Doors Down,0,2008-10
3 Doors Down,0,2008-11
3 Doors Down,0,2008-12
3 Doors Down,0,2009-1
3 Doors Down,0,2009-2
3 Doors Down,0,2009-3
3 Doors Down,0,2009-4
3 Doors Down,0,2009-5
3 Doors Down,0,2009-6
3 Doors Down,0,2009-7
3 Doors Down,1,2009-8
3 Doors Down,0,2009-9
3 Doors Down,0,2009-10
3 Doors Down,0,2009-11
3 Doors Down,0,2009-12
3 Doors Down,0,2010-1
3 Doors Down,0,2010-2
3 Doors Down,0,2010-3
3 Doors Down,0,2010-4
3 Doors Down,0,2010-5
3 Doors Down,0,2010-6
3 Doors Down,0,2010-7
3 Doors Down,0,2010-8
3 Doors Down,0,2010-9
3 Doors Down,0,2010-10
3 Doors Down,0,2010-11
3 Doors Down,0,2010-12
3 Doors Down,0,2011-1
3 Doors Down,0,2011-2
3 Doors Down,0,2011-3
3 Doors Down,0,2011-4
3 Doors Down,0,2011-5
3 Doors Down,0,2011-6
3 Doors Down,0,2011-7
3 Doors Down,0,2011-8
3 Doors Down,0,2011-9
3 Doors Down,0,2011-10
3 Doors Down,0,2011-11
3 Doors Down,0,2011-12
3 Doors Down,0,2012-1
3 Doors Down,0,2012-2
3 Doors Down,0,2012-3
3 Doors Down,0,2012-4
3 Doors Down,0,2012-5
3 Doors Down,0,2012-6
3 Doors Down,0,2012-7
3 Doors Down,0,2012-8
3 Doors Down,0,2012-9
3 Doors Down,0,2012-10
3 Doors Down,0,2012-11
3 Doors Down,0,2012-12
3 Doors Down,0,2013-1
3 Doors Down,0,2013-2
3 Doors Down,0,2013-3
3 Doors Down,0,2013-4
3 Doors Down,0,2013-5
3 Doors Down,0,2013-6
3 Doors Down,0,2013-7
3 Doors Down,0,2013-8
3 Doors Down,0,2013-9
3 Doors Down,0,2013-10
3 Doors Down,0,2013-11
3 Doors Down,0,2013-12
3 Doors Down,0,2014-1
3 Doors Down,0,2014-2
3 Doors Down,0,2014-3
3 Doors Down,0,2014-4
3 Doors Down,0,2014-5
3 Doors Down,0,2014-6
3 Doors Down,0,2014-7
3 Doors Down,0,2014-8
3 Doors Down,0,2014-9
3 Doors Down,0,2014-10
3 Doors Down,0,2014-11
3 Doors Down,0,2014-12
ASTR,0,2008-8
ASTR,0,2008-9
ASTR,0,2008-10
ASTR,0,2008-11
ASTR,0,2008-12
ASTR,0,2009-1
ASTR,0,2009-2
ASTR,0,2009-3
ASTR,0,2009-4
ASTR,0,2009-5
ASTR,0,2009-6
ASTR,0,2009-7
ASTR,0,2009-8
ASTR,0,2009-9
ASTR,0,2009-10
ASTR,0,2009-11
ASTR,0,2009-12
ASTR,0,2010-1
ASTR,0,2010-2
ASTR,0,2010-3
ASTR,0,2010-4
ASTR,0,2010-5
ASTR,0,2010-6
ASTR,0,2010-7
ASTR,0,2010-8
ASTR,0,2010-9
ASTR,0,2010-10
ASTR,0,2010-11
ASTR,0,2010-12
ASTR,0,2011-1
ASTR,0,2011-2
ASTR,0,2011-3
ASTR,0,2011-4
ASTR,0,2011-5
ASTR,0,2011-6
ASTR,0,2011-7
ASTR,0,2011-8
ASTR,0,2011-9
ASTR,0,2011-10
ASTR,0,2011-11
ASTR,0,2011-12
ASTR,0,2012-1
ASTR,0,2012-2
ASTR,0,2012-3
ASTR,0,2012-4
ASTR,0,2012-5
ASTR,0,2012-6
ASTR,0,2012-7
ASTR,0,2012-8
ASTR,0,2012-9
ASTR,0,2012-10
ASTR,0,2012-11
ASTR,0,2012-12
ASTR,0,2013-1
ASTR,0,2013-2
ASTR,0,2013-3
ASTR,0,2013-4
ASTR,0,2013-5
ASTR,0,2013-6
ASTR,0,2013-7
ASTR,0,2013-8
ASTR,0,2013-9
ASTR,0,2013-10
ASTR,0,2013-11
ASTR,0,2013-12
ASTR,0,2014-1
ASTR,0,2014-2
ASTR,0,2014-3
ASTR,0,2014-4
ASTR,0,2014-5
ASTR,0,2014-6
ASTR,0,2014-7
ASTR,0,2014-8
ASTR,0,2014-9
ASTR,1,2014-10
ASTR,0,2014-11
ASTR,0,2014-12
Air Traffic,0,2008-8
Air Traffic,0,2008-9
Air Traffic,0,2008-10
Air Traffic,0,2008-11
Air Traffic,0,2008-12
Air Traffic,0,2009-1
Air Traffic,0,2009-2
Air Traffic,0,2009-3
Air Traffic,0,2009-4
Air Traffic,0,2009-5
Air Traffic,0,2009-6
Air Traffic,0,2009-7
Air Traffic,1,2009-8
Air Traffic,0,2009-9
Air Traffic,0,2009-10
Air Traffic,0,2009-11
Air Traffic,0,2009-12
Air Traffic,0,2010-1
Air Traffic,0,2010-2
Air Traffic,0,2010-3
Air Traffic,0,2010-4
Air Traffic,0,2010-5
Air Traffic,0,2010-6
Air Traffic,0,2010-7
Air Traffic,0,2010-8
Air Traffic,0,2010-9
Air Traffic,0,2010-10
Air Traffic,0,2010-11
Air Traffic,0,2010-12
Air Traffic,0,2011-1
Air Traffic,0,2011-2
Air Traffic,0,2011-3
Air Traffic,0,2011-4
Air Traffic,0,2011-5
Air Traffic,0,2011-6
Air Traffic,0,2011-7
Air Traffic,0,2011-8
Air Traffic,0,2011-9
Air Traffic,0,2011-10
Air Traffic,0,2011-11
Air Traffic,0,2011-12
Air Traffic,0,2012-1
Air Traffic,0,2012-2
