key,value,date
of Montreal,0,2013-12
of Montreal,2,2014-1
of Montreal,0,2014-2
of Montreal,11,2014-3
of Montreal,0,2014-4
of Montreal,0,2014-5
of Montreal,0,2014-6
of Montreal,0,2014-7
of Montreal,18,2014-8
of Montreal,12,2014-9
of Montreal,18,2014-10
of Montreal,9,2014-11
of Montreal,74,2014-12
Cut Copy,4,2013-1
Cut Copy,0,2013-2
Cut Copy,0,2013-3
Cut Copy,0,2013-4
Cut Copy,0,2013-5
Cut Copy,0,2013-6
Cut Copy,0,2013-7
Cut Copy,0,2013-8
Cut Copy,0,2013-9
Cut Copy,0,2013-10
Cut Copy,32,2013-11
Cut Copy,1,2013-12
Cut Copy,1,2014-1
Cut Copy,39,2014-2
Cut Copy,18,2014-3
Cut Copy,28,2014-4
Cut Copy,16,2014-5
Cut Copy,11,2014-6
Cut Copy,4,2014-7
Cut Copy,17,2014-8
Cut Copy,4,2014-9
Cut Copy,14,2014-10
Cut Copy,1,2014-11
Cut Copy,2,2014-12
Real Estate,1,2013-1
Real Estate,3,2013-2
Real Estate,1,2013-3
Real Estate,0,2013-4
Real Estate,0,2013-5
Real Estate,9,2013-6
Real Estate,8,2013-7
Real Estate,4,2013-8
Real Estate,2,2013-9
Real Estate,2,2013-10
Real Estate,0,2013-11
Real Estate,4,2013-12
Real Estate,0,2014-1
Real Estate,12,2014-2
Real Estate,23,2014-3
Real Estate,9,2014-4
Real Estate,28,2014-5
Real Estate,13,2014-6
Real Estate,28,2014-7
Real Estate,20,2014-8
Real Estate,0,2014-9
Real Estate,0,2014-10
Real Estate,0,2014-11
Real Estate,0,2014-12
MGMT,0,2013-1
MGMT,9,2013-2
MGMT,1,2013-3
MGMT,0,2013-4
MGMT,6,2013-5
MGMT,0,2013-6
MGMT,5,2013-7
MGMT,2,2013-8
MGMT,42,2013-9
MGMT,18,2013-10
MGMT,12,2013-11
MGMT,9,2013-12
MGMT,18,2014-1
MGMT,24,2014-2
MGMT,8,2014-3
MGMT,12,2014-4
MGMT,0,2014-5
MGMT,0,2014-6
MGMT,0,2014-7
MGMT,0,2014-8
MGMT,2,2014-9
MGMT,0,2014-10
MGMT,0,2014-11
MGMT,0,2014-12
Talking Heads,0,2013-1
Talking Heads,0,2013-2
Talking Heads,23,2013-3
Talking Heads,18,2013-4
Talking Heads,11,2013-5
Talking Heads,14,2013-6
Talking Heads,0,2013-7
Talking Heads,1,2013-8
Talking Heads,5,2013-9
Talking Heads,0,2013-10
Talking Heads,13,2013-11
Talking Heads,0,2013-12
Talking Heads,3,2014-1
Talking Heads,15,2014-2
Talking Heads,13,2014-3
Talking Heads,2,2014-4
Talking Heads,4,2014-5
Talking Heads,0,2014-6
Talking Heads,17,2014-7
Talking Heads,1,2014-8
Talking Heads,2,2014-9
Talking Heads,0,2014-10
Talking Heads,1,2014-11
Talking Heads,2,2014-12
Vampire Weekend,0,2013-1
Vampire Weekend,0,2013-2
Vampire Weekend,0,2013-3
Vampire Weekend,0,2013-4
Vampire Weekend,0,2013-5
Vampire Weekend,52,2013-6
Vampire Weekend,7,2013-7
Vampire Weekend,3,2013-8
Vampire Weekend,0,2013-9
Vampire Weekend,11,2013-10
Vampire Weekend,11,2013-11
Vampire Weekend,9,2013-12
Vampire Weekend,7,2014-1
Vampire Weekend,4,2014-2
Vampire Weekend,11,2014-3
Vampire Weekend,12,2014-4
Vampire Weekend,0,2014-5
Vampire Weekend,1,2014-6
Vampire Weekend,0,2014-7
Vampire Weekend,5,2014-8
Vampire Weekend,0,2014-9
Vampire Weekend,6,2014-10
Vampire Weekend,0,2014-11
Vampire Weekend,0,2014-12
The Tallest Man on Earth,0,2013-1
The Tallest Man on Earth,0,2013-2
The Tallest Man on Earth,0,2013-3
The Tallest Man on Earth,0,2013-4
The Tallest Man on Earth,0,2013-5
The Tallest Man on Earth,0,2013-6
The Tallest Man on Earth,0,2013-7
The Tallest Man on Earth,0,2013-8
The Tallest Man on Earth,0,2013-9
The Tallest Man on Earth,0,2013-10
The Tallest Man on Earth,0,2013-11
The Tallest Man on Earth,0,2013-12
The Tallest Man on Earth,0,2014-1
The Tallest Man on Earth,0,2014-2
The Tallest Man on Earth,0,2014-3
The Tallest Man on Earth,16,2014-4
The Tallest Man on Earth,0,2014-5
The Tallest Man on Earth,14,2014-6
The Tallest Man on Earth,0,2014-7
The Tallest Man on Earth,38,2014-8
The Tallest Man on Earth,51,2014-9
The Tallest Man on Earth,9,2014-10
The Tallest Man on Earth,0,2014-11
The Tallest Man on Earth,0,2014-12
LCD Soundsystem,0,2013-1
LCD Soundsystem,0,2013-2
LCD Soundsystem,3,2013-3
LCD Soundsystem,0,2013-4
LCD Soundsystem,0,2013-5
LCD Soundsystem,0,2013-6
LCD Soundsystem,0,2013-7
LCD Soundsystem,1,2013-8
LCD Soundsystem,1,2013-9
LCD Soundsystem,0,2013-10
LCD Soundsystem,1,2013-11
LCD Soundsystem,3,2013-12
LCD Soundsystem,1,2014-1
LCD Soundsystem,1,2014-2
LCD Soundsystem,9,2014-3
LCD Soundsystem,10,2014-4
LCD Soundsystem,12,2014-5
LCD Soundsystem,11,2014-6
LCD Soundsystem,24,2014-7
LCD Soundsystem,32,2014-8
LCD Soundsystem,15,2014-9
LCD Soundsystem,0,2014-10
LCD Soundsystem,0,2014-11
